Word	Freq
facebook,howard	1
facebook,stole	2
facebook,twitter	3
facebook,student-employee	4
facebook,hankerson	5
facebook,tyrone	6
facebook,office	7
facebook,data	8
facebook,aid	9
office,student-employee	10
office,hankerson	11
office,tyrone	12
aid,student-employee	13
financial,student-employee	14
tyrone,student-employee	15
hankerson,student-employee	16
aid,hankerson	17
financial,hankerson	18
facebook,financial	19
tyrone,hankerson	20
stole,howard	21
aid,tyrone	22
financial,tyrone	23
financial,stole	24
aid,stole	25
aid,howard	26
financial,howard	27
financial,office	28
aid,office	29
financial,aid	30
